id,name,type,position,isburning
1,120教学楼,TEACHING_BUILDING,8 1,0
2,出口,EXIT,3 8,0
3,155教学楼,TEACHING_BUILDING,10 10,0
4,179教学楼,TEACHING_BUILDING,0 6,1
5,179宿舍,DORMITORY,9 10,1
6,193教学楼,TEACHING_BUILDING,7 1,0
7,152宿舍,DORMITORY,6 6,1
8,出口,EXIT,8 2,0
9,109宿舍,DORMITORY,9 0,0
10,107宿舍,DORMITORY,1 0,0
11,171教学楼,TEACHING_BUILDING,0 5,0
12,156教学楼,TEACHING_BUILDING,3 9,0
13,158教学楼,TEACHING_BUILDING,5 6,1
14,154教学楼,TEACHING_BUILDING,0 6,0
15,137宿舍,DORMITORY,3 4,0
16,191宿舍,DORMITORY,5 5,0
17,153宿舍,DORMITORY,10 8,0
18,109宿舍,DORMITORY,5 2,0
19,140宿舍,DORMITORY,3 7,0
20,109教学楼,TEACHING_BUILDING,6 7,0
21,149教学楼,TEACHING_BUILDING,5 6,1
22,161教学楼,TEACHING_BUILDING,0 8,0
23,178宿舍,DORMITORY,4 5,0
24,出口,EXIT,2 10,0
25,133教学楼,TEACHING_BUILDING,5 4,0
26,148教学楼,TEACHING_BUILDING,2 5,0
27,177宿舍,DORMITORY,0 5,0
28,出口,EXIT,2 2,0
29,108教学楼,TEACHING_BUILDING,4 7,0
30,出口,EXIT,0 1,0
