47
id,name,type,xposition,ypositon,isburning
1,184宿舍,DORMITORY,11.29,11.8,1
2,151宿舍,DORMITORY,3.34,10.96,0
3,174宿舍,DORMITORY,5.51,15.51,0
4,139教学楼,TEACHING_BUILDING,5.16,14.94,0
5,149宿舍,DORMITORY,12.75,6.11,0
6,出口,EXIT,9.49,9.22,0
7,127教学楼,TEACHING_BUILDING,16.61,7.41,0
8,114宿舍,DORMITORY,13.9,16.62,0
9,196教学楼,TEACHING_BUILDING,11.54,4.73,0
10,199教学楼,TEACHING_BUILDING,1.79,5.14,0
11,出口,EXIT,6.39,17.72,0
12,190宿舍,DORMITORY,0.86,14.57,0
13,中转点,intermediate,6.39,9.22,0
14,中转点,intermediate,9.49,15.51,0
15,中转点,intermediate,6.39,6.11,0
16,中转点,intermediate,3.34,4.73,0
17,中转点,intermediate,5.16,4.73,0
18,中转点,intermediate,9.49,4.73,0
19,中转点,intermediate,1.79,4.73,0
20,中转点,intermediate,3.34,7.41,0
21,中转点,intermediate,1.79,11.8,0
22,中转点,intermediate,1.79,17.72,0
23,中转点,intermediate,12.75,10.96,0
24,中转点,intermediate,0.86,14.94,0
25,中转点,intermediate,0.86,4.73,0
26,中转点,intermediate,16.61,5.14,0
27,中转点,intermediate,6.39,4.73,0
28,中转点,intermediate,13.9,15.51,0
29,中转点,intermediate,9.49,4.73,0
30,中转点,intermediate,5.51,4.73,0
31,中转点,intermediate,16.61,14.57,0
32,中转点,intermediate,5.16,17.72,0
33,中转点,intermediate,11.29,9.22,0
34,中转点,intermediate,11.29,9.22,0
35,中转点,intermediate,16.61,17.72,0
36,中转点,intermediate,9.49,14.94,0
37,中转点,intermediate,5.51,14.94,0
38,中转点,intermediate,11.29,14.94,0
39,中转点,intermediate,5.51,17.72,0
40,中转点,intermediate,1.79,14.57,0
41,中转点,intermediate,16.61,16.62,0
42,中转点,intermediate,1.79,16.62,0
43,中转点,intermediate,5.16,11.8,0
44,中转点,intermediate,12.75,14.94,0
45,中转点,intermediate,11.54,17.72,0
46,中转点,intermediate,0.86,11.8,0
47,中转点,intermediate,11.54,9.22,0
70
begin_id,end_id,type,congestion,distance,riskLevel
11,13,stair,0.7,8.5,5
13,6,stair,0.7,3.1,5
3,14,road,0.0,3.98,10
14,6,road,0.0,6.29,10
5,15,stair,0.6,6.36,9
15,11,stair,0.6,11.61,9
9,16,stair,0.7,8.2,2
16,2,stair,0.7,6.23,2
9,17,stair,0.8,6.38,9
17,4,stair,0.8,10.21,9
6,18,road,0.6,4.49,8
18,9,road,0.6,2.05,8
10,19,corridor,0.3,0.41,2
19,9,corridor,0.3,9.75,2
2,20,road,0.2,3.55,2
20,7,road,0.2,13.27,2
1,21,corridor,0.7,9.5,0
21,10,corridor,0.7,6.66,0
10,22,stair,0.9,12.58,8
22,11,stair,0.9,4.6,8
2,23,road,0.3,9.41,2
23,5,road,0.3,4.85,2
4,24,corridor,0.7,4.3,1
24,12,corridor,0.7,0.37,1
12,25,road,0.9,9.84,6
25,9,road,0.9,10.68,6
7,26,road,0.3,2.27,1
26,10,road,0.3,14.82,1
9,27,stair,0.6,5.15,10
27,11,stair,0.6,12.99,10
8,28,stair,0.5,1.11,5
28,3,stair,0.5,8.39,5
6,29,corridor,0.2,4.49,1
29,9,corridor,0.2,2.05,1
3,30,stair,0.1,10.78,5
30,9,stair,0.1,6.03,5
7,31,road,0.4,7.16,10
31,12,road,0.4,15.75,10
4,32,stair,0.2,2.78,2
32,11,stair,0.2,1.23,2
1,33,road,0.1,2.58,0
33,6,road,0.1,1.8,0
6,34,corridor,0.3,1.8,3
34,1,corridor,0.3,2.58,3
7,35,stair,0.7,10.31,8
35,11,stair,0.7,10.22,8
6,36,stair,0.2,5.72,5
36,4,stair,0.2,4.33,5
3,37,road,0.1,0.57,9
37,4,road,0.1,0.35,9
4,38,corridor,0.5,6.13,1
38,1,corridor,0.5,3.14,1
11,39,corridor,0.6,0.88,6
39,3,corridor,0.6,2.21,6
10,40,stair,0.1,9.43,4
40,12,stair,0.1,0.93,4
8,41,corridor,0.4,2.71,2
41,7,corridor,0.4,9.21,2
10,42,corridor,0.3,11.48,0
42,8,corridor,0.3,12.11,0
4,43,corridor,0.3,3.14,1
43,1,corridor,0.3,6.13,1
5,44,stair,0.3,8.83,2
44,4,stair,0.3,7.59,2
11,45,road,0.9,5.15,4
45,9,road,0.9,12.99,4
12,46,road,0.1,2.77,6
46,1,road,0.1,10.43,6
6,47,stair,0.8,2.05,10
47,9,stair,0.8,4.49,10
