27
id,name,type,xposition,ypositon,isburning
1,173教学楼,TEACHING_BUILDING,12.18,13.83,1
2,103教学楼,TEACHING_BUILDING,6.4,3.28,0
3,135宿舍,DORMITORY,7.74,11.55,0
4,121宿舍,DORMITORY,9.53,13.26,1
5,151宿舍,DORMITORY,5.08,3.44,0
6,出口,EXIT,5.24,9.93,0
7,出口,EXIT,7.14,6.93,0
8,116教学楼,TEACHING_BUILDING,5.38,14.7,0
9,190教学楼,TEACHING_BUILDING,16.68,15.76,1
10,140教学楼,TEACHING_BUILDING,19.98,2.91,0
11,196教学楼,TEACHING_BUILDING,9.99,15.68,0
12,154宿舍,DORMITORY,5.83,12.94,1
13,中转点,intermediate,7.74,15.68,0
14,中转点,intermediate,12.18,3.28,0
15,中转点,intermediate,7.74,6.93,0
16,中转点,intermediate,5.38,3.28,0
17,中转点,intermediate,5.83,14.7,0
18,中转点,intermediate,5.38,3.28,0
19,中转点,intermediate,5.08,12.94,0
20,中转点,intermediate,5.83,13.26,0
21,中转点,intermediate,16.68,2.91,0
22,中转点,intermediate,5.08,2.91,0
23,中转点,intermediate,5.83,13.26,0
24,中转点,intermediate,7.74,15.68,0
25,中转点,intermediate,9.99,14.7,0
26,中转点,intermediate,5.38,13.83,0
27,中转点,intermediate,5.08,2.91,0
30
begin_id,end_id,type,congestion,distance,riskLevel
11,13,stair,1.0,2.25,5
13,3,stair,1.0,4.13,5
1,14,road,0.6,10.55,9
14,2,road,0.6,5.78,9
3,15,corridor,0.4,4.62,4
15,7,corridor,0.4,0.6,4
8,16,corridor,0.9,11.42,2
16,2,corridor,0.9,1.02,2
8,17,road,0.7,0.45,0
17,12,road,0.7,1.76,0
2,18,stair,0.3,1.02,10
18,8,stair,0.3,11.42,10
12,19,road,0.1,0.75,5
19,5,road,0.1,9.5,5
12,20,road,0.1,0.32,8
20,4,road,0.1,3.7,8
10,21,road,0.3,3.3,2
21,9,road,0.3,12.85,2
5,22,corridor,1.0,0.53,6
22,10,corridor,1.0,14.9,6
12,23,road,0.8,0.32,1
23,4,road,0.8,3.7,1
11,24,road,0.6,2.25,3
24,3,road,0.6,4.13,3
8,25,road,0.8,4.61,4
25,11,road,0.8,0.98,4
1,26,road,1.0,6.8,5
26,8,road,1.0,0.87,5
5,27,road,0.0,0.53,5
27,10,road,0.0,14.9,5
