35
id,name,type,xposition,ypositon,isburning
1,142教学楼,TEACHING_BUILDING,10.21,16.06,0
2,167宿舍,DORMITORY,10.21,15.78,0
3,145宿舍,DORMITORY,17.38,4.62,0
4,109宿舍,DORMITORY,4.41,16.62,1
5,148教学楼,TEACHING_BUILDING,5.97,6.67,0
6,197教学楼,TEACHING_BUILDING,11.1,14.72,0
7,150教学楼,TEACHING_BUILDING,9.07,11.31,0
8,出口,EXIT,14.58,4.36,0
9,出口,EXIT,6.59,12.99,0
10,111宿舍,DORMITORY,11.28,4.37,0
11,出口,EXIT,5.52,2.05,0
12,出口,EXIT,15.17,4.91,0
13,中转点,intermediate,11.28,11.31,0
14,中转点,intermediate,10.21,16.62,0
15,中转点,intermediate,15.17,16.62,0
16,中转点,intermediate,14.58,16.62,0
17,中转点,intermediate,10.21,12.99,0
18,中转点,intermediate,5.97,11.31,0
19,中转点,intermediate,9.07,4.62,0
20,中转点,intermediate,4.41,4.91,0
21,中转点,intermediate,17.38,14.72,0
22,中转点,intermediate,5.52,4.91,0
23,中转点,intermediate,11.28,4.36,0
24,中转点,intermediate,15.17,6.67,0
25,中转点,intermediate,17.38,12.99,0
26,中转点,intermediate,10.21,2.05,0
27,中转点,intermediate,5.97,12.99,0
28,中转点,intermediate,10.21,15.78,0
29,中转点,intermediate,10.21,4.36,0
30,中转点,intermediate,14.58,12.99,0
31,中转点,intermediate,9.07,6.67,0
32,中转点,intermediate,5.52,6.67,0
33,中转点,intermediate,14.58,4.91,0
34,中转点,intermediate,9.07,14.72,0
35,中转点,intermediate,5.52,4.37,0
46
begin_id,end_id,type,congestion,distance,riskLevel
7,13,stair,0.0,2.21,0
13,10,stair,0.0,6.94,0
4,14,road,0.4,5.8,10
14,1,road,0.4,0.56,10
4,15,stair,0.6,10.76,5
15,12,stair,0.6,11.71,5
8,16,stair,0.3,12.26,1
16,4,stair,0.3,10.17,1
9,17,road,0.6,3.62,7
17,2,road,0.6,2.79,7
7,18,road,0.6,3.1,2
18,5,road,0.6,4.64,2
7,19,corridor,0.3,6.69,3
19,3,corridor,0.3,8.31,3
4,20,road,0.1,11.71,2
20,12,road,0.1,10.76,2
3,21,stair,0.8,10.1,8
21,6,stair,0.8,6.28,8
12,22,road,0.5,9.65,8
22,11,road,0.5,2.86,8
8,23,corridor,0.3,3.3,1
23,10,corridor,0.3,0.01,1
5,24,road,1.0,9.2,8
24,12,road,1.0,1.76,8
9,25,stair,0.8,10.79,4
25,3,stair,0.8,8.37,4
11,26,road,0.5,4.69,5
26,1,road,0.5,14.01,5
5,27,road,0.3,6.32,6
27,9,road,0.3,0.62,6
2,28,corridor,0.4,0.0,1
28,1,corridor,0.4,0.28,1
1,29,road,0.8,11.7,7
29,8,road,0.8,4.37,7
9,30,stair,0.9,7.99,10
30,8,stair,0.9,8.63,10
5,31,stair,0.1,3.1,2
31,7,stair,0.1,4.64,2
11,32,stair,0.7,4.62,8
32,5,stair,0.7,0.45,8
12,33,stair,0.4,0.59,7
33,8,stair,0.4,0.55,7
6,34,stair,0.8,2.03,1
34,7,stair,0.8,3.41,1
11,35,road,0.2,2.32,0
35,10,road,0.2,5.76,0
