32
id,name,type,xposition,ypositon,isburning
1,132宿舍,DORMITORY,5.36,9.47,0
2,出口,EXIT,11.67,17.24,0
3,180宿舍,DORMITORY,10.99,3.28,0
4,110宿舍,DORMITORY,8.65,13.21,0
5,出口,EXIT,16.64,12.31,0
6,148教学楼,TEACHING_BUILDING,6.42,5.95,0
7,125宿舍,DORMITORY,3.8,8.95,0
8,132宿舍,DORMITORY,2.64,2.86,1
9,196宿舍,DORMITORY,8.78,6.92,1
10,117教学楼,TEACHING_BUILDING,5.07,1.2,0
11,107教学楼,TEACHING_BUILDING,5.71,4.53,1
12,198教学楼,TEACHING_BUILDING,12.42,0.66,0
13,中转点,intermediate,5.07,3.28,0
14,中转点,intermediate,2.64,17.24,0
15,中转点,intermediate,5.07,5.95,0
16,中转点,intermediate,5.07,4.53,0
17,中转点,intermediate,11.67,4.53,0
18,中转点,intermediate,8.65,2.86,0
19,中转点,intermediate,11.67,1.2,0
20,中转点,intermediate,12.42,8.95,0
21,中转点,intermediate,5.36,17.24,0
22,中转点,intermediate,6.42,1.2,0
23,中转点,intermediate,8.65,9.47,0
24,中转点,intermediate,2.64,17.24,0
25,中转点,intermediate,3.8,6.92,0
26,中转点,intermediate,8.65,2.86,0
27,中转点,intermediate,5.71,2.86,0
28,中转点,intermediate,12.42,3.28,0
29,中转点,intermediate,3.8,13.21,0
30,中转点,intermediate,11.67,2.86,0
31,中转点,intermediate,5.07,17.24,0
32,中转点,intermediate,12.42,12.31,0
40
begin_id,end_id,type,congestion,distance,riskLevel
10,13,stair,0.8,2.08,7
13,3,stair,0.8,5.92,7
2,14,stair,0.7,9.03,3
14,8,stair,0.7,14.38,3
6,15,road,0.7,1.35,1
15,10,road,0.7,4.75,1
10,16,corridor,0.5,3.33,3
16,11,corridor,0.5,0.64,3
2,17,road,0.2,12.71,7
17,11,road,0.2,5.96,7
8,18,corridor,0.4,6.01,9
18,4,corridor,0.4,10.35,9
10,19,corridor,0.8,6.6,10
19,2,corridor,0.8,16.04,10
12,20,road,0.6,8.29,9
20,7,road,0.6,8.62,9
2,21,road,0.1,6.31,10
21,1,road,0.1,7.77,10
10,22,stair,0.2,1.35,0
22,6,stair,0.2,4.75,0
1,23,road,0.1,3.29,7
23,4,road,0.1,3.74,7
2,24,road,0.0,9.03,7
24,8,road,0.0,14.38,7
7,25,corridor,0.2,2.03,9
25,9,corridor,0.2,4.98,9
8,26,stair,0.9,6.01,5
26,4,stair,0.9,10.35,5
11,27,corridor,0.9,1.67,5
27,8,corridor,0.9,3.07,5
3,28,corridor,0.7,1.43,6
28,12,corridor,0.7,2.62,6
7,29,stair,0.1,4.26,0
29,4,stair,0.1,4.85,0
8,30,corridor,0.4,9.03,2
30,2,corridor,0.4,14.38,2
10,31,stair,0.6,16.04,8
31,2,stair,0.6,6.6,8
12,32,stair,0.1,11.65,9
32,5,stair,0.1,4.22,9
