38
id,name,type,xposition,ypositon,isburning
1,183宿舍,DORMITORY,3.6,4.39,0
2,176教学楼,TEACHING_BUILDING,8.34,8.26,0
3,111宿舍,DORMITORY,14.47,13.61,0
4,189宿舍,DORMITORY,16.35,7.4,0
5,112教学楼,TEACHING_BUILDING,13.15,4.12,0
6,127宿舍,DORMITORY,6.51,17.29,1
7,157教学楼,TEACHING_BUILDING,11.18,13.3,0
8,103宿舍,DORMITORY,3.22,14.7,0
9,147宿舍,DORMITORY,16.78,6.67,0
10,119教学楼,TEACHING_BUILDING,16.67,17.13,0
11,200教学楼,TEACHING_BUILDING,5.05,2.21,0
12,132宿舍,DORMITORY,6.16,1.35,0
13,中转点,intermediate,3.22,4.39,0
14,中转点,intermediate,3.6,17.29,0
15,中转点,intermediate,8.34,2.21,0
16,中转点,intermediate,5.05,4.39,0
17,中转点,intermediate,5.05,13.3,0
18,中转点,intermediate,6.51,7.4,0
19,中转点,intermediate,6.16,13.3,0
20,中转点,intermediate,11.18,7.4,0
21,中转点,intermediate,6.16,13.61,0
22,中转点,intermediate,16.67,17.29,0
23,中转点,intermediate,16.78,4.12,0
24,中转点,intermediate,13.15,8.26,0
25,中转点,intermediate,14.47,7.4,0
26,中转点,intermediate,3.22,13.3,0
27,中转点,intermediate,3.6,13.3,0
28,中转点,intermediate,14.47,17.29,0
29,中转点,intermediate,13.15,4.39,0
30,中转点,intermediate,11.18,17.29,0
31,中转点,intermediate,16.67,2.21,0
32,中转点,intermediate,5.05,13.61,0
33,中转点,intermediate,3.22,17.29,0
34,中转点,intermediate,16.67,1.35,0
35,中转点,intermediate,13.15,7.4,0
36,中转点,intermediate,14.47,2.21,0
37,中转点,intermediate,14.47,6.67,0
38,中转点,intermediate,16.67,1.35,0
52
begin_id,end_id,type,congestion,distance,riskLevel
8,13,stair,0.5,10.31,6
13,1,stair,0.5,0.38,6
6,14,road,0.0,2.91,5
14,1,road,0.0,12.9,5
11,15,stair,0.5,3.29,8
15,2,stair,0.5,6.05,8
11,16,stair,0.0,2.18,1
16,1,stair,0.0,1.45,1
7,17,road,0.9,6.13,5
17,11,road,0.9,11.09,5
6,18,road,0.3,9.89,9
18,4,road,0.3,9.84,9
7,19,stair,0.8,5.02,3
19,12,stair,0.8,11.95,3
7,20,corridor,0.5,5.9,4
20,4,corridor,0.5,5.17,4
3,21,stair,0.3,8.31,2
21,12,stair,0.3,12.26,2
6,22,road,0.9,10.16,0
22,10,road,0.9,0.16,0
9,23,corridor,0.4,2.55,2
23,5,corridor,0.4,3.63,2
2,24,stair,0.5,4.81,6
24,5,stair,0.5,4.14,6
3,25,road,0.2,6.21,4
25,4,road,0.2,1.88,4
8,26,stair,0.9,1.4,7
26,7,stair,0.9,7.96,7
7,27,road,0.6,7.58,8
27,1,road,0.6,8.91,8
6,28,stair,0.8,7.96,9
28,3,stair,0.8,3.68,9
5,29,stair,0.0,0.27,10
29,1,stair,0.0,9.55,10
7,30,road,0.1,3.99,0
30,6,road,0.1,4.67,0
10,31,corridor,0.6,14.92,10
31,11,corridor,0.6,11.62,10
3,32,corridor,0.4,9.42,6
32,11,corridor,0.4,11.4,6
6,33,road,0.6,3.29,6
33,8,road,0.6,2.59,6
10,34,road,0.1,15.78,6
34,12,road,0.1,10.51,6
4,35,corridor,0.6,3.2,6
35,5,corridor,0.6,3.28,6
3,36,stair,0.5,11.4,10
36,11,stair,0.5,9.42,10
9,37,corridor,0.4,2.31,7
37,3,corridor,0.4,6.94,7
10,38,road,0.6,15.78,1
38,12,road,0.6,10.51,1
